                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.0554,                 3.0608,                 1.8546,                 0.8812,                0.07188,                0.54272,                0.31422,                 1.3724,                 3.1648,                 1.3356,                 0.0006,                 0.0006,                 0.0006
                      1,                 1.5637,                 1.9666,                 1.4166,                0.90174,                  0.249,                0.48499,                 0.2611,                 1.6138,                  3.265,                 1.6012,              0.0012079,              0.0012079,              0.0012079
                      2,                 1.5251,                 1.8182,                 1.3991,                0.15734,                0.13178,                0.08776,                0.03439,                 3.1892,                 3.4443,                 3.0613,              0.0018036,              0.0018036,              0.0018036
                      3,                 1.5072,                 1.6169,                 1.3825,                0.10568,                0.33824,                0.05705,                0.02599,                  2.053,                 4.7139,                 2.0223,              0.0019406,              0.0019406,              0.0019406
                      4,                 1.4825,                 1.4393,                 1.3502,                0.89031,                0.73931,                 0.8149,                0.46018,                 1.5002,                 1.8825,                 1.4049,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.4709,                 1.3419,                 1.3335,                0.76637,                0.59755,                 0.7057,                0.39638,                 1.5786,                 1.5816,                 1.4627,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.4453,                  1.245,                  1.305,                0.47632,                0.39341,                0.36641,                0.09355,                 2.2976,                 2.3787,                 2.1358,               0.001901,               0.001901,               0.001901
                      7,                 1.4302,                  1.206,                 1.3126,                0.77372,                0.63614,                0.69351,                 0.4015,                 1.4658,                  1.438,                 1.4125,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.3846,                 1.1415,                 1.2958,                0.82453,                0.76744,                0.82742,                0.47661,                 1.4061,                 1.4691,                  1.277,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.4542,                 1.1327,                 1.3361,                0.88844,                0.69448,                0.79625,                0.46896,                 1.4765,                  1.211,                  1.408,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.4078,                 1.0619,                 1.2869,                0.85904,                0.70736,                0.80634,                 0.4968,                 1.3722,                 1.0987,                 1.2919,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.4218,                  1.065,                 1.2975,                 0.8835,                0.82558,                0.86646,                0.52131,                 1.4136,                0.90384,                 1.2888,               0.001802,               0.001802,               0.001802
                     12,                 1.4027,                 1.0062,                 1.2581,                0.79728,                0.83721,                0.84058,                0.52321,                 1.3074,                 1.0447,                 1.2251,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.3918,                 1.0197,                 1.2633,                0.88001,                0.81589,                0.85209,                0.52002,                 1.3455,                0.92569,                 1.2593,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.3454,                0.91069,                 1.2425,                0.90247,                0.85659,                0.90212,                0.56947,                 1.2935,                0.73824,                 1.2131,              0.0017426,              0.0017426,              0.0017426
                     15,                  1.375,                0.94741,                 1.2585,                0.90982,                0.86031,                0.89122,                0.53968,                 1.3306,                0.74176,                 1.2605,              0.0017228,              0.0017228,              0.0017228
                     16,                  1.366,                0.94528,                  1.274,                0.88095,                0.80426,                0.87892,                0.53312,                 1.3559,                0.75102,                 1.2422,               0.001703,               0.001703,               0.001703
                     17,                 1.3864,                0.93087,                 1.2658,                0.92469,                0.81395,                0.87218,                0.55123,                 1.2988,                0.76021,                 1.2186,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.3608,                0.88362,                 1.2552,                0.91334,                 0.8469,                0.88684,                0.55516,                 1.3401,                0.69624,                 1.2463,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.3424,                0.90414,                 1.2615,                0.90468,                0.84496,                0.88587,                0.55015,                 1.3242,                0.69524,                 1.2413,              0.0016436,              0.0016436,              0.0016436
